time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1517097600,11319,11697.24,11234.38,11536,11035.698312674713,11270.606580184713,10800.790045164713,13684.86906
1517184000,11536,11570,10840,11123.01,11177.67,11177.670122070313,11177.669877929688,11162.53596
1517270400,11123.01,11150,9711.11,9995,10542.434850896821,10946.534626804538,10138.335074989105,27583.83797
1517356800,9995,10299.95,9601.02,10099.99,10360.738659658837,10777.934697420067,9943.542621897606,19533.03021
1517443200,10099.99,10166.25,8400,9014.23,9898.92832379083,10555.409360280299,9242.44728730136,38152.39046
1517529600,9014.22,9090.08,7540,8787.52,9398.986042627761,10261.012111843513,8536.95997341201,52037.55236
1517616000,8787.52,9499,8115.48,9240,9337.421564657172,10152.661923424974,8522.18120588937,23684.29438
1517702400,9227.8,9350,7859,8167.91,9229.707754927225,10045.883029422475,8413.532480431975,24059.18803
1517788800,8167.9,8349.16,6425.75,6905.19,7226.7,7226.7,7226.7,59575.37153
1517875200,6905.2,7948.89,5873,7688.46,7192.3723283916925,7220.012607824647,7164.732048958738,91890.49578
1517961600,7688.47,8650,7212.82,7575.75,7348.4200286665455,7618.690480533918,7078.149576799173,50891.54974
1518048000,7575.76,8625,7550,8218.1,7454.261210503041,7821.409231679423,7087.113189326659,31646.91253
1518134400,8218.07,8700,7750,8671.01,7551.117826184718,7998.62962412813,7103.606028241306,27554.32195
1518220800,8671,9090,8155,8547.49,7641.995610449854,8161.3293157799735,7122.661905119735,24876.86492
1518307200,8547.48,8547.49,7851,8072.99,7670.543043194955,8188.861026459857,7152.225059930053,16803.7684
1518393600,8073,8950,8072.99,8872.28,8631.756666666666,8631.756666666666,8631.756666666666,19717.6203
1518480000,8872.27,8925,8393.1,8520.01,8623.86117471025,8633.247156109679,8614.47519331082,13952.54756
1518566400,8520.01,9482.5,8520,9472.98,8848.339533671218,9112.297718036514,8584.381349305922,24369.27755
1518652800,9472.98,10249.81,9342.46,10031.23,9215.751482598753,9751.250855035758,8680.252110161748,32371.05692
1518739200,10031.23,10307.68,9729.58,10167.49,9356.269058503643,9938.968595264416,8773.569521742871,17843.54592
1518825600,10167.49,11149,10057,11121.5,9584.82150355919,10331.200131358408,8838.44287575997,20773.70417
1518912000,11121.5,11299.1,10159,10380.04,9762.554041174266,10544.767099336927,8980.340983011605,26974.2742
1518998400,10380.03,11274.11,10297.39,11140,10903.833333333334,10903.833333333334,10903.833333333334,17633.25671
1519084800,11140,11775,11000,11235.57,11171.075483948596,11381.559972215851,10960.590995681341,28425.11658
1519171200,11235.57,11279.99,10250,10454.27,10969.91532377925,11268.032892936748,10671.797754621753,30033.2259
1519257600,10453.83,10900,9715.27,9830,10748.386532826327,11193.152597540562,10303.620468112093,28095.85652
1519344000,9830,10390.77,9576.43,10144.99,10630.177227406488,11114.945176595167,10145.409278217809,20776.53619
1519430400,10144.99,10494.14,9372.72,9688.62,10524.053416378905,11047.788347962176,10000.318484795635,19727.94904
1519516800,9688.61,9850,9324.75,9597.99,10454.203776732598,11014.620025860713,9893.787527604483,11707.16068
1519603200,9600,10447.74,9404,10300,10050.58,10050.58,10050.58,19118.77984
1519689600,10300,10845.07,10133.33,10566.57,10277.170245794789,10509.307353040058,10045.03313854952,18216.01842
1519776000,10556.3,11044,10263,10307.27,10367.200822637042,10592.320600178467,10142.081045095616,19669.31713
1519862400,10307.26,11075,10213.99,10895.92,10443.968447990315,10692.429067726238,10195.507828254393,15390.55107
1519948800,10895.93,11149,10765,11000,10528.59269136465,10827.412473841821,10229.77290888748,13837.31985
1520035200,11000.01,11494.57,11000,11432.5,10632.184537228863,11016.314389018886,10248.05468543884,13198.01803
1520121600,11432.51,11487,11041,11469.9,10688.145942362738,11102.673863453103,10273.618021272374,8633.59444
1520208000,11469.9,11645.74,11339,11377.54,11454.093333333332,11454.093333333332,11454.093333333332,11051.42859
1520294400,11371.5,11395.63,10565.85,10700,11100.581731139917,11375.258009908488,10825.905452371346,18305.57838
1520380800,10700,10894,9400,9920,10560.500723112198,11108.266625658422,10012.734820565975,32412.54885
1520467200,9925,10098,9050,9304.9,10265.549485277377,10935.0603780245,9596.038592530254,23320.34426
1520553600,9304.9,9410,8370,9255,9851.450034081883,10656.412236746368,9046.487831417398,41958.06001
1520640000,9255,9518.77,8720.08,8795.44,9754.754822782024,10558.030961977662,8951.478683586387,16527
1520726400,8795.45,9760,8516,9533.88,9692.742743576824,10460.162649353115,8925.322837800533,21059
1520812800,9533.88,9890,8782.69,9120,9264.230000000001,9264.230000000001,9264.230000000001,20338
1520899200,9120,9472.88,8855,9145.41,9216.214381158052,9269.191387804864,9163.23737451124,16707
1520985600,9145.42,9340,7931,8207.03,8912.879131641243,9272.173108694393,8553.585154588092,26742
1521072000,8207.02,8400,7666,8259.99,8672.829631136723,9148.210973504092,8197.448288769354,27141
1521158400,8260,8600,7911,8275,8610.014875163033,9071.853608528714,8148.176141797352,16412
1521244800,8274.09,8349.82,7751,7865.02,8542.274664087941,9019.295040528485,8065.254287647398,13133
1521331200,7857.59,8302.73,7310,8192,8421.76272317369,8912.751880588836,7930.773565758544,29821
1521417600,8192,8757.5,8108.31,8589,8484.936666666666,8484.936666666666,8484.936666666666,24483
1521504000,8589,9046.26,8316.15,8900,8605.430103186602,8739.288852869897,8471.571353503306,19838
1521590400,8900,9174,8745,8891.81,8690.609065949113,8875.801158242046,8505.41697365618,15326
1521676800,8891.81,9073.93,8467.27,8715.09,8702.642763402147,8870.509243880198,8534.776282924096,14514
1521763200,8715.09,8927.81,8280.04,8927.1,8704.161707173073,8857.25811911833,8551.065295227814,15043
1521849600,8927.8,8999,8508,8531.34,8701.42599486244,8846.008937847102,8556.843051877779,11103
1521936000,8531.96,8670,8359.45,8452.96,8684.581446737317,8834.292783085351,8534.870110389282,8872
