Date,(0-25),(25-50),(50-75),(75-100),(100-125),(125-150),(150-175),(175-200),(200-225),(225-250),(250-275),(275-300),(300-325),(325-350),(350-375),(375-400),(400-425),(425-450),(450-475),(475-500),(500-525),(525-550),(550-575),(575-600),(600-625),(625-650),(650-675),(675-700),(700-725),(725-750),(750-775),(775-800),(800-825),(825-850),(850-875),(875-900),(900-925),(925-950),(950-975),(975-1000),(1000-1025),(1025-1050),(1050-1075),(1075-1100),(1100-1125),(1125-1150),(1150-1175),(1175-1200),(1200-1225),,Weighted Average Expectation
9/8/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.529664,0.436393,0.033942,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/11/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.58696,0.38408,0.02896,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/12/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.557827,0.41068,0.031493,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/13/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.57408,0.40984,0.01608,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/14/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.629653,0.356582,0.013764,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/15/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.723403,0.27136,0.005237,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/18/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.652136,0.341173,0.006691,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/19/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.7007,0.2936,0.0057,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/20/2023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.014112,0.697387,0.288501,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9/21/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.737278,0.262722,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.724556,0.275444,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.815167,0.184833,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.836222,0.163778,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.775167,0.224833,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.806667,0.193333,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.816667,0.183333,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.728333,0.271667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.718333,0.281667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.769222,0.230778,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.799222,0.200778,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.728778,0.271222,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.880278,0.119722,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.868167,0.131833,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.908778,0.091222,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.867278,0.132722,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.938333,0.061667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.947889,0.052111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.885333,0.114667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.934278,0.065722,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.003667,0.996333,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.001389,0.998611,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.010944,0.989056,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2023,,,,,,,,,,,,,,,,,0,0,0,0,0,0.992,0.008,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.023667,0.976333,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.001389,0.998611,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.020333,0.979667,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.013056,0.986944,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.032611,0.967389,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2023,,,,,,,,,,,,,,,,,0,0,0,0,0.011389,0.988611,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
